"year","before.day.before","day.before","day.1","day.2","day.3","day.4","day.after","after.day.after","all","before","during","after"
"2012",114,6,86,380,209,230,14,162,1201,120,905,176
"2012-relative",0.095,0.005,0.072,0.316,0.174,0.192,0.012,0.135,1,0.1,0.754,0.147
"2014",393,59,377,1170,718,741,35,273,3766,452,3006,308
"2014-relative",0.104,0.016,0.1,0.311,0.191,0.197,0.009,0.072,1,0.12,0.798,0.082
"2016",624,99,409,1051,838,786,88,341,4236,723,3084,429
"2016-relative",0.147,0.023,0.097,0.248,0.198,0.186,0.021,0.081,1,0.171,0.728,0.101
"2018",740,53,355,650,731,422,63,509,3523,793,2158,572
"2018-relative",0.21,0.015,0.101,0.185,0.207,0.12,0.018,0.144,1,0.225,0.613,0.162
"all",1871,217,1227,3251,2496,2179,200,1285,12726,2088,9153,1485
"all-relative",0.148,0.017,0.097,0.257,0.197,0.172,0.016,0.101,1.004,0.165,0.722,0.117
