"category","orig_2012","rt_2012","orig_2014","rt_2014","orig_2016","rt_2016","orig_2018","rt_2018","orig_all","rt_all"
"0",1,1,0,0,3,0,2,0,6,1
"0_rel",0.001,0.003,0,0,0.002,0,0.002,0,0.001,0
"1",145,64,594,345,507,615,293,519,1531,1535
"1_rel",0.175,0.172,0.269,0.222,0.27,0.261,0.251,0.22,0.253,0.232
"2",183,150,142,200,99,274,90,417,514,1041
"2_rel",0.221,0.403,0.064,0.129,0.053,0.116,0.077,0.177,0.085,0.158
"3",136,21,295,50,241,90,81,30,749,191
"3_rel",0.164,0.056,0.133,0.032,0.128,0.038,0.069,0.013,0.124,0.029
"4",197,65,812,527,525,629,331,432,1861,1629
"4_rel",0.238,0.175,0.367,0.339,0.28,0.267,0.284,0.183,0.307,0.247
"5",127,58,219,134,390,475,319,753,1052,1419
"5_rel",0.153,0.156,0.099,0.086,0.208,0.201,0.274,0.319,0.174,0.215
"6",34,13,129,296,86,251,36,201,283,758
"6_rel",0.041,0.035,0.058,0.19,0.046,0.106,0.031,0.085,0.047,0.115
"7",6,0,19,4,26,25,14,5,65,34
"7_rel",0.007,0,0.009,0.003,0.014,0.011,0.012,0.002,0.011,0.005
"all",829,372,2210,1556,1877,2359,1166,2357,6061,6608
